Name,Country,Team,Position,Appearances,Goals,Interceptions,Time Played (min),Fouls Conceded,Total Passes,Touches,Yellow Cards
Jan Oblak,SI,ATM,Goalkeeper,38,0,0,3420,0,843,1194,1
Jastin García,ES,GIR,Forward,3,0,0,31,0,10,20,0
Jaume Costa,ES,MLL,Defender,30,0,16,1682,25,585,1026,7
Jaume Domènech,ES,VAL,Goalkeeper,2,0,0,79,0,29,44,0
Javi Galán,ES,RSO,Midfielder,14,0,14,1075,21,499,860,3
Javi Guerra,ES,VAL,Midfielder,36,4,18,2503,40,939,1418,3
Javi Hernández,ES,CAD,Midfielder,30,1,19,2517,45,971,1633,10
Javi Llabrés,ES,MLL,Forward,16,1,3,234,5,76,156,1
Javi López,ES,ALA,Defender,32,1,10,2387,25,774,1498,3
Javi Martínez,ES,HUE,Midfielder,38,3,22,2833,46,1070,1606,7
Javi Muñoz,ES,LPA,Midfielder,37,2,20,2646,36,1226,1624,6
Javier Domínguez,ES,CEL,Defender,0,0,0,0,0,0,0,0
Javier Manquillo,ES,CEL,Defender,12,0,3,746,14,361,531,3
Javier Martón,ES,MIR,Forward,20,4,2,1227,9,181,402,5
Javier Rodríguez,ES,CEL,Defender,0,0,0,0,0,0,0,0
Javier Rueda,ES,CEL,Defender,1,0,0,19,0,13,18,0
Jaílson Marques Siqueira,BR,CEL,Midfielder,14,0,12,893,13,483,643,1
Jeremy Jorge,ES,GET,Midfielder,1,0,0,1,0,0,1,0
Jesús Areso,ES,OSA,Defender,37,1,18,2661,30,944,1766,3
Jesús Corona,MX,NONE,NONE,0,0,0,0,0,0,0,0
Jesús Navas,ES,SEV,Defender,29,0,22,2010,12,940,1499,6
Jesús Owono,GQ,ALA,Goalkeeper,4,0,0,360,0,110,146,1
Jesús Vallejo,ES,GRA,Defender,3,0,0,106,2,81,100,1
Jesús Vázquez,ES,VAL,Defender,20,1,3,705,8,179,423,1
Jhon Solís,CO,GIR,Midfielder,18,0,8,369,10,224,317,0
Joan Jordán,ES,SEV,Midfielder,8,0,4,378,1,237,290,1
Joaquín Panichelli,AR,ALA,Forward,8,0,1,222,8,44,92,0
Johan Mojica,CO,OSA,Midfielder,30,0,21,2041,22,904,1481,1
John Patrick,IE,GET,Midfielder,0,0,0,0,0,0,0,0
Johnny Cardoso,US,BET,Midfielder,17,1,32,1331,21,634,889,3
Jon Aramburu,VE,RSO,Defender,11,0,7,541,11,256,415,3
Jon Guridi,ES,ALA,Midfielder,36,3,22,2698,21,802,1157,2
Jon Karrikaburu,ES,AND,Forward,21,3,4,1334,29,208,453,4
Jon Magunazelaia,ES,RSO,Midfielder,5,0,0,118,2,42,76,0
Jon Martín,ES,RSO,Defender,1,0,0,23,0,7,10,0
Jon Moncayola,ES,OSA,Midfielder,33,1,15,1801,24,924,1217,2
Jon Olasagasti,ES,RSO,Midfielder,14,0,3,351,7,168,252,3
Jon Pacheco,ES,RSO,Defender,23,1,10,1521,29,1164,1324,8
Jonathan Bamba,CI,CEL,Midfielder,27,3,18,1993,15,703,1168,0
Jonathan Viera,ES,ALM,Forward,12,0,4,922,10,533,665,1
Jorge Benito,ES,NONE,NONE,0,0,0,0,0,0,0,0
Jorge Cuenca,ES,VIL,Defender,29,3,21,1961,25,1094,1454,7
Jorge Herrando,ES,OSA,Defender,19,0,15,1644,26,736,918,4
Jorge Martín,ES,GET,Defender,13,0,8,574,19,211,359,1
Jorge Meré,ES,CAD,Defender,10,0,8,677,1,225,305,0
Jorge Moreno,ES,OSA,Midfielder,1,0,0,13,0,6,14,0
Jorge Pascual,ES,VIL,Forward,39,4,3,2506,50,630,1098,6
Jorge de Frutos,ES,RAY,Midfielder,36,2,7,1542,15,419,723,1
Joseba Zaldúa,ES,CAD,Defender,13,0,2,709,14,186,329,3
Joseda Álvarez,ES,ALA,Defender,0,0,0,0,0,0,0,0
José Luis Mato Sanmartín,ES,RMA,Forward,34,10,6,1676,10,348,547,1
Joseph Aidoo,GH,CEL,Defender,6,0,4,407,4,181,247,0
José Antonio de la Rosa,ES,NONE,NONE,0,0,0,0,0,0,0,0
José Arnaiz,ES,OSA,Forward,26,2,3,922,8,269,504,3
José Callejón,ES,GRA,Forward,25,0,5,795,11,319,476,2
José Ángel Gómez Campaña,ES,LPA,Midfielder,8,0,2,166,0,156,190,0
José Gayà,ES,VAL,Defender,24,1,11,1797,24,793,1291,2
José Giménez,UY,ATM,Defender,22,0,10,1323,17,650,837,5
José Luís Morales,ES,VIL,Forward,29,7,7,1037,3,201,358,0
José Mari Martín,ES,NONE,NONE,0,0,0,0,0,0,0,0
José Pozo,ES,RAY,Forward,2,0,0,17,1,11,18,0
José Ángel Carmona,ES,GET,Defender,30,1,21,1312,33,466,804,9
João Pedro Cavaco Cancelo,PT,BAR,Defender,32,2,29,2506,40,1557,2343,7
João Félix Sequeira,PT,BAR,Forward,30,7,10,1542,21,627,1038,3
